作物ID,作物名称,分类,已有数量,是否制标
200621,轮生花,稀有,2,否
200611,勿忘我,稀有,1,否
200601,相思草,稀有,1,否
zzsjqz0011,流苏龙胆,变异,1,否
zzsjqz0012,芍药天慧,变异,1,否
zzsjqz0017,沙漠五点斑,变异,3,否
zztqxm0017,自由精神,变异,1,否
zztqxm0016,白桃妖精,变异,1,否
zzcyls0015,流苏雪双璇,变异,1,否
1yue0013,白色贺岁一月果,变异,1,否
sdqh09212,四季花果·蛇必退,变异,2,否
zrwyg0015,大紫炙热五月果,变异,1,否
zz1129157,远古梓木,变异,1,否
zz1129160,远古银杏,变异,1,否
zzchm0012,粉红刺虎梅,变异,6,否
zzczs0011,春之风信子,变异,6,否
zzczs0012,春之三色堇,变异,2,否
zzdzm0018,冬露之纯,变异,2,否
zzqzj0011,秋景·红枫林,变异,1,否
zzqzj0013,秋景·梧桐树,变异,1,否
zzsql0011,神奇安古兰,变异,1,否
zzsql0012,神奇蜜蜂兰,变异,1,否
zzxzg0011,夏歌·夏枯草,变异,2,否
zzxzg0014,夏歌·紫露草,变异,2,否
zzxzg0015,夏歌·四照花,变异,1,否
dzy1228011,冬之季美花,变异,3,否
dzy1228013,冬之月娿花,变异,1,否
zzbyjc0012,仙寒星海芋,变异,10,否
zzbyjc0013,点雪琉璃苣,变异,3,否
zzcsyq0011,妙峰岩蕨,变异,1,否
zzcsyq0014,栗柄岩蕨,变异,5,否
zzcsyq0015,大囊岩蕨,变异,3,否
zzddmd0012,白神雪塔,变异,1,是
zzhbjp0012,天山雪参,变异,4,否
zzhbjp0013,天山雪滴花,变异,2,否
zzhbjp0015,天山薄雪草,变异,2,否
zzhcyx0012,浮翠流丹,变异,1,否
zzhcyx0013,花意柔情,变异,1,否
zzhdpz0012,荒寂古藤草,变异,13,否
zzhdpz0013,焚野龙吐珠,变异,8,否
zzhdpz0014,八荒食人花,变异,2,否
zzhsey0011,鲜红二月果,变异,1,否
zzhtpk0017,黑桃&spades;7,变异,1,否
zzjbhh0012,淡柔香,变异,1,否
zzjbhh0014,建宁菊,变异,1,否
zzjbzh0011,木瓜步兵,变异,2,否
zzlbxz0011,西洋水仙,变异,1,否
zzmygj0012,蚀魄鬼罂粟,变异,2,否
zzmygj0013,焚月水鬼蕉,变异,4,否
zzqsjj0015,碧玉珊瑚,变异,1,否
zzsmjp0012,清幽青凤凰,变异,5,否
zzsmjp0013,玲珑白龙球,变异,2,否
zzsmjp0014,不灭神想曲,变异,2,否
zzxqll0015,小叶赤楠,变异,3,否
zzyjss0012,秘纹九里香,变异,2,否
zzzjfr0011,酒醉芙蓉·白,变异,5,否
zzzjfr0012,酒醉芙蓉·紫,变异,4,否
zzzjfr0013,酒醉芙蓉·红,变异,1,否
zzzjfr0014,酒醉芙蓉·黄,变异,1,否
zzzjfr0015,酒醉芙蓉·粉,变异,1,否
zzmlqsj0011,橙色花瓣(光明),变异,1,否
zzmlqsj0014,蓝色花瓣(深远),变异,2,否
zzmlqsj0015,紫色花瓣(优雅),变异,2,否
zzmlqsj0016,白色花瓣(纯洁),变异,1,否
zzmlqsj0017,灰色花瓣(忧郁),变异,1,否
zzfcfcml0011,白色风车茉莉,变异,2,是
zzfcfcml0012,粉色风车茉莉,变异,1,是
zzgc12yxx011,戌月·菊花,变异,1,否
zzgc12yxx012,亥月·木芙蓉,变异,4,否
zzgc12yzx012,未月·荷花,变异,1,否
zzgc12yzx014,酉月·桂花,变异,2,否
zzsmql1215014,百岁兰,变异,1,否
zz08292,（粉红色）白花蛇舌草,变异,1,否
zz08165,（黑色）天香百合,变异,2,否
7yue07062,黄色幸运星,变异,1,否
300059,申猴混元果,变异,2,否
300055,辰龙混元果,变异,1,否
300051,子鼠混元果,变异,1,否
300001,青铜白羊花,变异,6,是
300002,青铜金牛花,变异,10,是
300003,青铜双子花,变异,6,是
300004,青铜巨蟹花,变异,14,是
300005,青铜狮子花,变异,11,是
300006,青铜处女花,变异,5,是
300007,青铜天秤花,变异,9,是
300008,青铜天蝎花,变异,18,是
300009,青铜射手花,变异,9,是
300010,青铜摩羯花,变异,5,是
300011,青铜水瓶花,变异,18,是
300012,青铜双鱼花,变异,7,是
300013,白银白羊花,变异,15,否
300014,白银金牛花,变异,12,否
300015,白银双子花,变异,10,否
300016,白银巨蟹花,变异,8,是
300017,白银狮子花,变异,1,是
300018,白银处女花,变异,14,否
300019,白银天秤花,变异,12,否
300020,白银天蝎花,变异,11,是
300022,白银摩羯花,变异,14,否
300023,白银水瓶花,变异,5,是
300024,白银双鱼花,变异,6,是
300027,黄金双子花,变异,1,否
300028,黄金巨蟹花,变异,12,否
300030,黄金处女花,变异,15,否
300031,黄金天秤花,变异,11,否
300032,黄金天蝎花,变异,8,是
300033,黄金射手花,变异,8,否
300034,黄金摩羯花,变异,6,否
300035,黄金水瓶花,变异,9,否
300036,黄金双鱼花,变异,10,否
300094,白龙,变异,11,否
300061,北极大犬座,变异,16,是
300062,南极大犬座,变异,14,是
zztkhhh0011,太空合欢花,太空,1,否
zztkktl0011,太空卡兰特,太空,1,否
zztkxyh0011,太空象牙红,太空,1,否
zztkzxg0011,太空西瓜,太空,1,否
shzzrgzs0011,丛枝软骨藻,深海,1,否
shzzrgzs0012,树枝软骨藻,深海,1,否
shzzrgzs0015,细枝软骨藻,深海,3,否
shzzhc0011,海草,深海,2,否
shzzhz0011,海藻,深海,3,否
shzzzs0011,紫树,深海,1,否
shzzzzls0011,珍珠蓝树,深海,1,否
zzzhyd0011,中华肠蕨,奇珍,2,否
